epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,416.449,0.76402,2.43293,0.93398,0.00405,0.75759,0.52743,0.39469,0.78722,3.63114,0.89719,0.000407197,0.000407197,0.000407197
2,818.714,0.77101,1.43102,0.9349,0.62285,0.53077,0.66189,0.5216,0.78691,2.65613,0.92889,0.000796676,0.000796676,0.000796676
3,1203.82,0.7952,1.38807,0.96325,0.7379,0.74501,0.7834,0.60112,0.89297,1.66456,0.98828,0.00115866,0.00115866,0.00115866
4,1632.65,0.76289,1.16422,0.93711,0.88597,0.65622,0.79179,0.61455,0.83484,1.67458,1.01335,0.00112625,0.00112625,0.00112625
5,2055.14,0.74873,1.05281,0.9467,0.81796,0.82129,0.85632,0.6543,0.79034,1.17719,0.93962,0.001085,0.001085,0.001085
6,2484.96,0.76568,1.01204,0.94769,0.88375,0.81043,0.87726,0.67686,0.81814,1.08513,0.94916,0.00104375,0.00104375,0.00104375
7,2904.82,0.71495,0.90977,0.93082,0.91515,0.79086,0.86972,0.6918,0.75843,1.05131,0.92411,0.0010025,0.0010025,0.0010025
8,3325.86,0.67799,0.79545,0.90671,0.91816,0.78077,0.85309,0.67693,0.72908,0.95992,0.93132,0.00096125,0.00096125,0.00096125
9,3750.07,0.67743,0.76064,0.91989,0.93781,0.84298,0.89291,0.71081,0.71896,0.85255,0.93052,0.00092,0.00092,0.00092
10,4166.54,0.67632,0.72986,0.92315,0.84883,0.8587,0.88312,0.70688,0.72389,0.78487,0.91563,0.00087875,0.00087875,0.00087875
11,4587.49,0.66409,0.69276,0.91239,0.93529,0.83395,0.8943,0.71721,0.71222,0.74151,0.92863,0.0008375,0.0008375,0.0008375
12,4999.84,0.64256,0.63328,0.90678,0.91441,0.86157,0.90433,0.73393,0.66023,0.67235,0.88435,0.00079625,0.00079625,0.00079625
13,5425.04,0.66298,0.63563,0.90212,0.91328,0.86364,0.90624,0.7318,0.69916,0.64275,0.90803,0.000755,0.000755,0.000755
14,5803.3,0.62714,0.59373,0.90485,0.90236,0.8671,0.89091,0.73339,0.66209,0.68311,0.89327,0.00071375,0.00071375,0.00071375
15,6202.48,0.63168,0.56596,0.89537,0.93954,0.85988,0.90544,0.7501,0.63885,0.60255,0.88572,0.0006725,0.0006725,0.0006725
16,6878.65,0.62173,0.54784,0.89733,0.9488,0.87103,0.93005,0.7501,0.67968,0.57165,0.91498,0.00063125,0.00063125,0.00063125
17,7246.67,0.6248,0.54942,0.8931,0.83504,0.88391,0.89708,0.74569,0.67059,0.61938,0.90019,0.00059,0.00059,0.00059
18,7667.9,0.5683,0.49618,0.88065,0.92271,0.88739,0.92616,0.75962,0.66348,0.55883,0.89507,0.00054875,0.00054875,0.00054875
19,8086.34,0.60333,0.49392,0.889,0.95781,0.87115,0.93123,0.77803,0.6324,0.5575,0.88139,0.0005075,0.0005075,0.0005075
20,8491.67,0.59448,0.46981,0.88596,0.9068,0.90856,0.92166,0.77205,0.63881,0.53966,0.8817,0.00046625,0.00046625,0.00046625
21,8891.82,0.55357,0.4773,0.85171,0.92816,0.86502,0.9153,0.76263,0.65389,0.54384,0.89699,0.000425,0.000425,0.000425
22,9083.97,0.54598,0.44276,0.8526,0.91261,0.88923,0.91756,0.76679,0.64828,0.52085,0.8848,0.00038375,0.00038375,0.00038375
23,9298.43,0.54355,0.43545,0.83896,0.92951,0.87137,0.92319,0.76837,0.64247,0.50755,0.88766,0.0003425,0.0003425,0.0003425
24,9516.76,0.52693,0.42084,0.85141,0.90882,0.87915,0.91001,0.76883,0.63925,0.5096,0.8941,0.00030125,0.00030125,0.00030125
25,9750.03,0.52039,0.40702,0.83799,0.94101,0.8689,0.92182,0.78178,0.61337,0.47522,0.86637,0.00026,0.00026,0.00026
26,9999.35,0.52168,0.38834,0.84066,0.93979,0.90827,0.92902,0.78988,0.61098,0.45395,0.86906,0.00021875,0.00021875,0.00021875
27,10254.3,0.51389,0.38155,0.8393,0.92378,0.90376,0.92448,0.7862,0.59254,0.4287,0.86175,0.0001775,0.0001775,0.0001775
28,10512.6,0.49627,0.37616,0.83138,0.92462,0.91295,0.93896,0.79681,0.59118,0.43125,0.8622,0.00013625,0.00013625,0.00013625
29,10822.4,0.49045,0.3601,0.82439,0.92,0.91755,0.93607,0.78604,0.60128,0.43475,0.86522,9.5e-05,9.5e-05,9.5e-05
30,11128.3,0.49242,0.35335,0.83099,0.91853,0.91038,0.93334,0.79081,0.58644,0.42089,0.86305,5.375e-05,5.375e-05,5.375e-05
